id,date,team1,team2,toss_winner,decision,first_score,first_wkts,second_score,second_wkts,winner,player_of_the_match,most_runs,most_wkts,,Combined_score,score diff
51,"May 3,2024",Kolkata,Mumbai,Mumbai,Field,169,10,145,10,Kolkata,Venkatesh Iyer,Venkatesh Iyer,Mitchell Starc,,314,-24
52,"May 4,2024",Gujarat,Banglore,Banglore,Field,147,10,152,6,Banglore,Mohammed Siraj,Faf du Plessis,Josh Little,,299,5
53,"May 5,2024",Chennai,Punjab,Punjab,Field,167,9,139,9,Chennai,Ravindra Jadeja,Ravindra Jadeja,Ravindra Jadeja,,306,-28
54,"May 5,2024",Kolkata,Lucknow,Lucknow,Field,235,6,137,10,Kolkata,Sunil Narine,Sunil Narine,Harshit Rana,,372,-98
55,"May 6,2024",Hyderabad,Mumbai,Mumbai,Field,173,8,174,3,Mumbai,Suryakumar Yadav,Suryakumar Yadav,Hardik Pandya,,347,1
56,"May 7,2024",Delhi,Rajasthan,Rajasthan,Field,221,8,201,8,Delhi,Kuldeep Yadav,Sanju Samson,Ravichandran Ashwin,,422,-20
57,"May 8,2024",Lucknow,Hyderabad,Lucknow,Bat,165,4,167,0,Hyderabad,Travis Head,Travis Head,Bhuvneshwar Kumar,,332,2
58,"May 9,2024",Banglore,Punjab,Punjab,Field,241,7,181,10,Banglore,Virat Kohli,Virat Kohli,Harshal Patel,,422,-60
59,"May 10,2024",Gujarat,Chennai,Chennai,Field,231,3,196,8,Gujarat,Shubman Gill,Shubman Gill,Mohit Sharma,,427,-35
60,"May 11,2024",Kolkata,Mumbai,Mumbai,Field,157,7,139,8,Kolkata,Varun Chakravarthy,Venkatesh Iyer,Varun Chakravarthy,,296,-18
61,"May 12,2024",Rajasthan,Chennai,Rajasthan,Bat,141,5,145,5,Chennai,Simarjeet Singh,Riyan Parag,Simarjeet Singh,,286,4
62,"May 12,2024",Banglore,Delhi,Delhi,Field,187,9,140,10,Banglore,Cameron Green,Axar Patel,Yash Dayal,,327,-47
64,"May 14,2024",Delhi,Lucknow,Lucknow,Field,208,4,189,9,Delhi,Ishant Sharma,Nicholas Pooran,Ishant Sharma,,397,-19
65,"May 15,2024",Rajasthan,Punjab,Rajasthan,Bat,144,9,145,5,Punjab,Sam Curran,Sam Curran,Rahul Chahar,,289,1
67,"May 17,2024",Lucknow,Mumbai,Mumbai,Field,214,6,196,6,Lucknow,Nicholas Pooran,Nicholas Pooran,Nuwan Thushara,,410,-18
68,"May 18,2024",Banglore,Chennai,Chennai,Field,218,5,191,7,Banglore,Faf du Plessis,Rachin Ravindra,Yash Dayal,,409,-27
69,"May 19,2024",Punjab,Hyderabad,Punjab,Bat,214,5,215,6,Hyderabad,Abhishek Sharma,Prabhsimran Singh,T Natarajan,,429,1
71,"May 21,2024",Hyderabad,Kolkata,Hyderabad,Bat,159,10,164,2,Kolkata,Mitchell Starc,Shreyas Iyer,Mitchell Starc,,323,5
72,"May 22,2024",Banglore,Rajasthan,Rajasthan,Field,172,8,174,6,Rajasthan,Ravichandran Ashwin,Yashasvi Jaiswal,Avesh Khan,,346,2
73,"May 24,2024",Hyderabad,Rajasthan,Rajasthan,Field,175,9,139,7,Hyderabad,Shahbaz Ahmed,Dhruv Jurel ,Shahbaz Ahmed,,314,-36
74,"May 26,2024",Hyderabad,Kolkata,Hyderabad,Bat,113,10,114,2,Kolkata,Mitchell Starc,Venkatesh Iyer,Andre Russell,,227,1
